,Variant,Make_Month,No_of_Owners,Color,Type_of_Car,Transmission,Insurance_Type,Condition,Registration_Place,Power_steering,Cruise_Control,Navigation_System,Adjustable_Steering,Automatic_Boot,Air_Conditioning,Power_Windows,Sunroof,Fog_Lamps,Alloy_Wheels,Adjustable_External_Mirror,Display_Screen,Bluetooth,AMFM_adio,USB_Compatibility,Aux_Compatibility,ABS,Anti_Theft_Device,Rear_Parking_Camera,Parking_Sensors,Lock_System,Number_of_Airbags,Flood_Affected,Accidental,Registration_Transfer,Insurance,Finance,Exchange,Brand,Model,Year,Fuel,KM_driven,Price
564,SwiftDzireVXIAutomatic,April,First,Silver,Sedans,Automatic,NoInsurance,Used,MH,Yes,,,Yes,Yes,AutomaticClimateControl,Front&rear,,Yes,,Power,,,,Yes,Yes,,,,,,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift Dzire,2012,Petrol,"56,000 km",395000
565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maruti Suzuki,Wagon R,2016,Petrol,"51,000 km",300000
566,SwiftDzireVDiBS-IV,January,First,Silver,Sedans,Manual,NoInsurance,Used,MH,Yes,,,Yes,Yes,WithHeater,Front&rear,,,,Power,,,,Yes,Yes,,,,,RemoteControlledCentral,,No,Yes,Yes,,Yes,Yes,Maruti Suzuki,Swift Dzire,2017,Diesel,"57,000 km",693999
567,SwiftVXi,April,First,White,Hatchback,Manual,NoInsurance,Used,MH,Yes,,,Yes,,,,,,,,,,,Yes,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift,2016,Petrol,"46,000 km",435000
568,WagonR1.0LXiCNG,August,First,Grey,Hatchback,Manual,Comprehensive,Used,MH,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,Yes,Yes,,Maruti Suzuki,Wagon R 1.0,2013,CNG & Hybrids,"55,000 km",265000
569,SwiftZDi,September,First,Red,Hatchback,Manual,ThirdParty,Used,MH,Yes,,,,,WithHeater,Front&rear,,,Yes,,,,,,,Yes,,,,RemoteControlledCentral,,,,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift,2014,Diesel,"56,000 km",499013
570,SwiftVDi,February,First,White,Sedans,Manual,Comprehensive,Used,MH,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift,2012,Diesel,"55,000 km",385000
571,SwiftDzireVDI,November,Second,Silver,Sedans,Manual,Comprehensive,Used,MH,Yes,,,Yes,Yes,AutomaticClimateControl,Front&rear,,Yes,Yes,Power,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,RemoteControlledCentral,2airbags,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift Dzire,2014,Diesel,"56,000 km",550000
572,ErtigaVDi,,First,Gold,SUV,Manual,Comprehensive,Used,MH,Yes,,,Yes,,WithHeater,Front&rear,,Yes,,Power,,,,,,Yes,Yes,Yes,Yes,RemoteControlledCentral,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Ertiga,2015,Diesel,"61,929 km",685000
573,SwiftVXi,January,First,Silver,Hatchback,Manual,NoInsurance,Used,MH,Yes,,,,,,,,Yes,,,Yes,,,,,,,,,,,No,No,Yes,,Yes,Yes,Maruti Suzuki,Swift,2014,Petrol,"40,620 km",425000
574,WagonR1.0LXiCNG,April,First,Gold,Hatchback,Manual,Comprehensive,Used,MH,,,,,,AutomaticClimateControl,Front&rear,,,,Manual,,,,Yes,Yes,,Yes,,Yes,RemoteControlledCentral,1airbag,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Wagon R 1.0,2015,Petrol,"18,000 km",375000
575,VXIAutomatic,December,First,Blue,Sedans,Manual,Comprehensive,New,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maruti Suzuki,Wagon R,2019,Petrol,1 km,661353
576,ErtigaVxiABS,November,First,Grey,SUV,Manual,Comprehensive,Used,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maruti Suzuki,Ertiga,2013,Petrol,"29,000 km",495000
577,WagonR1.0LXiCNG,October,First,Red,Hatchback,Manual,Comprehensive,Used,MH,Yes,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Wagon R 1.0,2013,CNG & Hybrids,"68,653 km",280000
578,WagonR1.0VXi,June,First,Grey,Hatchback,Automatic,Comprehensive,Used,MH,Yes,,,Yes,Yes,WithHeater,Front&rear,,Yes,,Manual,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,RemoteControlledCentral,None,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Wagon R 1.0,2017,Petrol,"8,297 km",435000
579,WagonR1.0LXiCNG,February,First,Blue,Hatchback,Manual,Comprehensive,New,MH,Yes,,,,,AutomaticClimateControl,Front&rear,,Yes,,Power,,Yes,,Yes,Yes,Yes,,Yes,Yes,RemoteControlledCentral,1airbag,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Wagon R 1.0,2020,CNG & Hybrids,45 km,519000
580,SwiftVDiABSBS-IV,November,First,White,Hatchback,Manual,Comprehensive,Used,MH,Yes,,,Yes,Yes,WithHeater,Front&rear,,Yes,,Manual,,,,,,,,,,RemoteControlledCentral,None,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift,2012,Diesel,"55,500 km",385000
581,ErtigaVxiABS,November,First,Grey,SUV,Manual,Comprehensive,Used,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maruti Suzuki,Ertiga,2013,Petrol,"29,000 km",495000
582,WagonRLXI,August,First,White,Hatchback,Manual,Comprehensive,Used,MH,Yes,,Yes,Yes,Yes,AutomaticClimateControl,Front&rear,,Yes,Yes,Power,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,RemoteControlledCentral,2airbags,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Wagon R,2013,CNG & Hybrids,"48,000 km",285000
583,SwiftDzireZDI,October,Second,Silver,Sedans,Manual,Comprehensive,Used,MH,Yes,,,Yes,Yes,AutomaticClimateControl,Front&rear,,Yes,Yes,Manual,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,RemoteControlledCentral,2airbags,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift Dzire,2014,Diesel,"56,000 km",545000
584,VXIAutomatic,October,First,Brown,Hatchback,Automatic,NoInsurance,Used,MH,Yes,,Yes,,,,,,Yes,,,Yes,,,,,,,,,,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Wagon R,2017,Petrol,"30,120 km",390000
585,ErtigaVxiABS,November,First,Grey,SUV,Manual,Comprehensive,Used,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maruti Suzuki,Ertiga,2013,Petrol,"29,000 km",495000
586,WagonR1.0LXiCNG,April,First,Gold,Hatchback,Manual,Comprehensive,Used,MH,,,,,,AutomaticClimateControl,Front&rear,,,,Manual,,,,Yes,Yes,,Yes,,Yes,RemoteControlledCentral,1airbag,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Wagon R 1.0,2015,Petrol,"18,000 km",375000
587,WagonR1.0LXiCNG,July,First,Grey,Hatchback,Manual,NoInsurance,Used,MH,Yes,,,,,,,,Yes,,,Yes,,,,,,,,,,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Wagon R 1.0,2012,Petrol,"65,914 km",265000
588,WagonR1.0LXiCNG,February,First,Blue,Hatchback,Manual,Comprehensive,New,MH,Yes,,,,,AutomaticClimateControl,Front&rear,,Yes,,Power,,Yes,,Yes,Yes,Yes,,Yes,Yes,RemoteControlledCentral,1airbag,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Wagon R 1.0,2020,CNG & Hybrids,45 km,519000
589,SwiftVDiABSBS-IV,November,First,White,Hatchback,Manual,Comprehensive,Used,MH,Yes,,,Yes,Yes,WithHeater,Front&rear,,Yes,,Manual,,,,,,,,,,RemoteControlledCentral,None,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift,2012,Diesel,"55,500 km",385000
590,SwiftVXi,January,First,Silver,Hatchback,Manual,NoInsurance,Used,MH,Yes,,,,,,,,Yes,,,Yes,,,,,,,,,,,No,No,Yes,,Yes,Yes,Maruti Suzuki,Swift,2014,Petrol,"40,620 km",425000
591,SwiftDzireZDI,October,Second,Silver,Sedans,Manual,Comprehensive,Used,MH,Yes,,,Yes,Yes,AutomaticClimateControl,Front&rear,,Yes,Yes,Manual,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,RemoteControlledCentral,2airbags,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift Dzire,2014,Diesel,"56,000 km",545000
592,WagonR1.0LXiCNG,October,First,Red,Hatchback,Manual,Comprehensive,Used,MH,Yes,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Wagon R 1.0,2013,CNG & Hybrids,"68,653 km",280000
593,WagonRLXI,August,First,White,Hatchback,Manual,Comprehensive,Used,MH,Yes,,Yes,Yes,Yes,AutomaticClimateControl,Front&rear,,Yes,Yes,Power,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,RemoteControlledCentral,2airbags,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Wagon R,2013,CNG & Hybrids,"48,000 km",285000
594,ZDIPlus ,December,First,Red,Hatchback,Manual,Comprehensive,New,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maruti Suzuki,Ertiga,2019,Diesel,1 km,1372428
595,SwiftVDiBS-IV,August,Second,Grey,Hatchback,Manual,ThirdParty,Used,UP,Yes,,,Yes,,WithHeater,Front&rear,,Yes,,Power,Yes,Yes,,Yes,Yes,,,,,Central,,,,Yes,Yes,,Yes,Maruti Suzuki,Swift,2013,Diesel,"72,000 km",335000
596,SwiftDzireVXI,January,Second,Silver,Sedans,Manual,Comprehensive,Used,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maruti Suzuki,Swift Dzire,2013,Petrol,"41,173 km",365000
597,SwiftDzireVXi1.2BS-IV,March,First,Silver,Sedans,Manual,Comprehensive,Used,MH,Yes,,,,,,,,Yes,,,Yes,,,,,,,,,,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift Dzire,2010,Petrol,"56,951 km",265000
598,SwiftVDiABSBS-IV,November,First,White,Hatchback,Manual,Comprehensive,Used,MH,Yes,,,Yes,Yes,WithHeater,Front&rear,,Yes,,Manual,,,,,,,,,,RemoteControlledCentral,None,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift,2012,Diesel,"55,500 km",385000
599,WagonR1.0LXiCNG,July,First,Grey,Hatchback,Manual,NoInsurance,Used,MH,Yes,,,,,,,,Yes,,,Yes,,,,,,,,,,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Wagon R 1.0,2012,Petrol,"65,914 km",265000
600,ZDIPlus ,December,First,Red,Hatchback,Manual,Comprehensive,New,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maruti Suzuki,Ertiga,2019,Diesel,1 km,1372428
601,WagonR1.0LXiCNG,October,First,Red,Hatchback,Manual,Comprehensive,Used,MH,Yes,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Wagon R 1.0,2013,CNG & Hybrids,"68,653 km",280000
602,SwiftVDi,February,First,White,Sedans,Manual,Comprehensive,Used,MH,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift,2012,Diesel,"55,000 km",385000
603,ErtigaVDi,July,First,Grey,SUV,Manual,NoInsurance,Used,MH,,,,,,,,,,,,,,,,,,,,,,,No,No,,,Yes,Yes,Maruti Suzuki,Ertiga,2017,Diesel,"41,700 km",809000
604,SwiftVDiABSBS-IV,November,First,White,Hatchback,Manual,Comprehensive,Used,MH,Yes,,,Yes,Yes,WithHeater,Front&rear,,Yes,,Manual,,,,,,,,,,RemoteControlledCentral,None,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift,2012,Diesel,"55,500 km",385000
605,SwiftLXi,March,First,Grey,Hatchback,Manual,Comprehensive,Used,MH,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,Maruti Suzuki,Swift,2016,CNG & Hybrids,"34,531 km",450000
606,SwiftDzireVXI,March,First,Grey,Sedans,Manual,Comprehensive,Used,MH,Yes,,,Yes,,,Front&rear,,Yes,,Power,Yes,Yes,,Yes,Yes,Yes,,,,RemoteControlledCentral,,,,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift Dzire,2013,CNG & Hybrids,"97,000 km",390000
607,SwiftVXi,January,First,Silver,Hatchback,Manual,NoInsurance,Used,MH,Yes,,,,,,,,Yes,,,Yes,,,,,,,,,,,No,No,Yes,,Yes,Yes,Maruti Suzuki,Swift,2014,Petrol,"40,620 km",425000
608,SwiftDzireVXI,January,Second,Silver,Sedans,Manual,Comprehensive,Used,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maruti Suzuki,Swift Dzire,2013,Petrol,"41,173 km",365000
609,WagonR1.0LXiCNG,February,First,Blue,Hatchback,Manual,Comprehensive,New,MH,Yes,,,,,AutomaticClimateControl,Front&rear,,Yes,,Power,,Yes,,Yes,Yes,Yes,,Yes,Yes,RemoteControlledCentral,1airbag,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Wagon R 1.0,2020,CNG & Hybrids,45 km,519000
610,SwiftVXi,September,Third,White,Hatchback,Manual,NoInsurance,Used,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maruti Suzuki,Swift,2010,CNG & Hybrids,"83,799 km",185000
611,SwiftDzireVDI,November,Second,Silver,Sedans,Manual,Comprehensive,Used,MH,Yes,,,Yes,Yes,AutomaticClimateControl,Front&rear,,Yes,Yes,Power,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,RemoteControlledCentral,2airbags,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift Dzire,2014,Diesel,"56,000 km",550000
612,SwiftZDi,March,First,Blue,Hatchback,Manual,Comprehensive,Used,MH,Yes,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift,2018,Diesel,"13,000 km",785000
613,ZDIPlus ,December,First,Red,Hatchback,Manual,Comprehensive,New,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maruti Suzuki,Ertiga,2019,Diesel,1 km,1372428
614,SwiftDzireVDI,November,Second,Silver,Sedans,Manual,Comprehensive,Used,MH,Yes,,,Yes,Yes,AutomaticClimateControl,Front&rear,,Yes,Yes,Power,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,RemoteControlledCentral,2airbags,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift Dzire,2014,Diesel,"56,000 km",550000
615,VXIAutomatic,December,First,Blue,Sedans,Manual,Comprehensive,New,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maruti Suzuki,Wagon R,2019,Petrol,1 km,661353
616,WagonRLXI,August,First,White,Hatchback,Manual,Comprehensive,Used,MH,Yes,,Yes,Yes,Yes,AutomaticClimateControl,Front&rear,,Yes,Yes,Power,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,RemoteControlledCentral,2airbags,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Wagon R,2013,CNG & Hybrids,"48,000 km",285000
617,ZDIPlus ,December,First,Red,Hatchback,Manual,Comprehensive,New,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maruti Suzuki,Ertiga,2019,Diesel,1 km,1372428
618,SwiftZDi,March,First,Blue,Hatchback,Manual,Comprehensive,Used,MH,Yes,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift,2018,Diesel,"13,000 km",785000
619,SwiftVXi,January,First,Silver,Hatchback,Manual,NoInsurance,Used,MH,Yes,,,,,,,,Yes,,,Yes,,,,,,,,,,,No,No,Yes,,Yes,Yes,Maruti Suzuki,Swift,2014,Petrol,"40,620 km",425000
620,VXIAutomatic,December,First,Blue,Sedans,Manual,Comprehensive,New,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maruti Suzuki,Wagon R,2019,Petrol,1 km,661353
621,VXIAutomatic,December,First,Blue,Sedans,Manual,Comprehensive,New,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maruti Suzuki,Wagon R,2019,Petrol,1 km,661353
622,SwiftVDi,February,First,White,Sedans,Manual,Comprehensive,Used,MH,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift,2012,Diesel,"55,000 km",385000
623,SwiftVDiBS-IV,August,Second,Grey,Hatchback,Manual,ThirdParty,Used,UP,Yes,,,Yes,,WithHeater,Front&rear,,Yes,,Power,Yes,Yes,,Yes,Yes,,,,,Central,,,,Yes,Yes,,Yes,Maruti Suzuki,Swift,2013,Diesel,"72,000 km",335000
624,SwiftDzireVXi1.2BS-IV,March,First,Silver,Sedans,Manual,Comprehensive,Used,MH,Yes,,,,,,,,Yes,,,Yes,,,,,,,,,,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift Dzire,2010,Petrol,"56,951 km",265000
625,ZDIPlus ,December,First,Red,Hatchback,Manual,Comprehensive,New,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maruti Suzuki,Ertiga,2019,Diesel,1 km,1372428
626,WagonR1.0LXiCNG,July,First,Grey,Hatchback,Manual,NoInsurance,Used,MH,Yes,,,,,,,,Yes,,,Yes,,,,,,,,,,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Wagon R 1.0,2012,Petrol,"65,914 km",265000
627,SwiftDzireVDI,November,Second,Silver,Sedans,Manual,Comprehensive,Used,MH,Yes,,,Yes,Yes,AutomaticClimateControl,Front&rear,,Yes,Yes,Power,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,RemoteControlledCentral,2airbags,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift Dzire,2014,Diesel,"56,000 km",550000
628,SwiftDzireVXi1.2BS-IV,May,First,Grey,Sedans,Manual,NoInsurance,Used,MH,Yes,,Yes,,,,,,,,,,,,,,,,,,,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift Dzire,2014,Petrol,"28,522 km",445000
629,WagonR1.0VXi,October,First,Blue,Hatchback,Manual,Comprehensive,Used,MH,Yes,,,,,,,,Yes,,,Yes,,,,,,,,,,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Wagon R 1.0,2012,Petrol,"38,261 km",265000
630,VXIAutomatic,October,First,Brown,Hatchback,Automatic,NoInsurance,Used,MH,Yes,,Yes,,,,,,Yes,,,Yes,,,,,,,,,,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Wagon R,2017,Petrol,"30,120 km",390000
631,SwiftVDiBS-IV,August,Second,Grey,Hatchback,Manual,ThirdParty,Used,UP,Yes,,,Yes,,WithHeater,Front&rear,,Yes,,Power,Yes,Yes,,Yes,Yes,,,,,Central,,,,Yes,Yes,,Yes,Maruti Suzuki,Swift,2013,Diesel,"72,000 km",335000
632,ErtigaVxi,December,First,Red,Hatchback,Automatic,Comprehensive,New,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maruti Suzuki,Ertiga,2019,Diesel,1 km,1095033
633,ErtigaVxiCNG,May,First,White,SUV,Manual,Comprehensive,Used,MH,,,,,,,,,,,,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,,2airbags,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Ertiga,2016,CNG & Hybrids,"22,000 km",695000
634,SwiftZXi1.2BS-IV,November,First,Silver,Hatchback,Manual,Comprehensive,Used,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maruti Suzuki,Swift,2013,Petrol,"29,286 km",395000
635,SHVSZDIPlus,April,First,Silver,SUV,Manual,NoInsurance,Used,MH,Yes,,Yes,,Yes,,,,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Ertiga,2017,Diesel,"33,000 km",895000
636,SwiftVDiABSBS-IV,November,First,White,Hatchback,Manual,Comprehensive,Used,MH,Yes,,,Yes,Yes,WithHeater,Front&rear,,Yes,,Manual,,,,,,,,,,RemoteControlledCentral,None,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift,2012,Diesel,"55,500 km",385000
637,WagonR1.0LXiCNG,October,First,Red,Hatchback,Manual,Comprehensive,Used,MH,Yes,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Wagon R 1.0,2013,CNG & Hybrids,"68,653 km",280000
638,SwiftVDi,February,First,White,Sedans,Manual,Comprehensive,Used,MH,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift,2012,Diesel,"55,000 km",385000
639,ErtigaVxiCNG,April,First,White,SUV,Manual,NoInsurance,Used,MH,Yes,,,Yes,,AutomaticClimateControl,Front&rear,,Yes,,Manual,,,,Yes,Yes,,,,Yes,RemoteControlledCentral,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Ertiga,2015,CNG & Hybrids,"58,000 km",599000
640,ErtigaVxi,January,First,White,MUV,Manual,NoInsurance,Used,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maruti Suzuki,Ertiga,2012.0,Petrol,"70,000 km",490000
641,ErtigaVxiCNG,December,Second,Silver,Luxury,Manual,Comprehensive,Used,MH,Yes,,,Yes,,,,,Yes,,,Yes,,,Yes,,,,Yes,,,,,,,,,,Maruti Suzuki,Ertiga,2013,CNG & Hybrids,"70,000 km",485000
642,SwiftVXi,June,First,Silver,Hatchback,Manual,Comprehensive,Used,MH,Yes,,,,,WithHeater,Front&rear,,Yes,,,,,,Yes,Yes,,,,,Central,,No,No,Yes,Yes,,,Maruti Suzuki,Swift,2006,Petrol,"67,000 km",175000
643,SwiftVXi,April,First,White,Hatchback,Manual,NoInsurance,Used,MH,Yes,,,Yes,,,,,,,,,,,Yes,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift,2016,Petrol,"46,000 km",435000
644,ErtigaVxiCNG,October,First,Silver,MUV,Manual,Comprehensive,Used,MH,Yes,,,Yes,,WithHeater,Front&rear,,Yes,,Power,,,,Yes,Yes,,Yes,,,RemoteControlledCentral,,No,No,Yes,Yes,Yes,,Maruti Suzuki,Ertiga,2013,CNG & Hybrids,"71,000 km",525000
645,SwiftDzireVDI,June,First,Blue,Hatchback,Manual,Comprehensive,Used,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maruti Suzuki,Swift Dzire,2018,Diesel,"18,732 km",755000
646,WagonR1.0LXiCNG,August,First,Grey,Hatchback,Manual,Comprehensive,Used,MH,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,Maruti Suzuki,Wagon R 1.0,2013,CNG & Hybrids,"55,000 km",265000
647,WagonR1.0VXi,October,First,Silver,Hatchback,Manual,Comprehensive,Used,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maruti Suzuki,Wagon R 1.0,2016,Petrol,"16,000 km",385000
648,ErtigaVDi,,First,,,Manual,Comprehensive,,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maruti Suzuki,Ertiga,2013,Diesel,"78,000 km",555000
649,SwiftVDiBS-IV,October,Second,White,Hatchback,Manual,Comprehensive,Used,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maruti Suzuki,Swift,2011,Diesel,"99,200 km",351000
650,WagonR1.0VXi,,First,,,Manual,NoInsurance,,MH,,,,,,,,,,,,,,,,,,,,Yes,RemoteControlledCentral,,No,No,,,,,Maruti Suzuki,Wagon R 1.0,2011,Petrol,"63,000 km",225000
651,ErtigaVxiCNG,October,First,Grey,SUV,Manual,Comprehensive,New,MH,Yes,,Yes,Yes,,AutomaticClimateControl,Front&rear,,Yes,,Manual,,Yes,,Yes,Yes,Yes,,,,Central,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Ertiga,2015.0,CNG & Hybrids,"45,100 km",621000
652,SwiftVDi,October,First,Grey,Hatchback,Manual,Comprehensive,New,MH,Yes,,,Yes,,AutomaticClimateControl,Front&rear,,Yes,,Manual,,Yes,,Yes,Yes,,,,,Central,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift,2014.0,Diesel,"71,150 km",421000
653,SwiftDzireZDIAMT(Automatic)(Automatic),June,First,,,Automatic,ZeroDep,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,Maruti Suzuki,Swift Dzire,2017.0,Diesel,"54,000 km",740000
654,SwiftVXi,January,Second,White,Hatchback,Manual,ThirdParty,Used,MH,Yes,,,Yes,,WithHeater,Front&rear,,Yes,,Power,Yes,Yes,,Yes,Yes,Yes,,,Yes,RemoteControlledCentral,None,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift,2012,Petrol,"33,333 km",325000
655,ErtigaZDi,January,Second,Grey,MUV,Manual,Comprehensive,Used,MH,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,Yes,Maruti Suzuki,Ertiga,2013.0,Diesel,"101,300 km",565000
656,SwiftDzireVDI,June,First,Blue,Sedans,Manual,Comprehensive,Used,MH,Yes,,,,Yes,WithHeater,Front&rear,,,,Manual,,Yes,,Yes,Yes,Yes,Yes,,Yes,RemoteControlledCentral,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift Dzire,2018,Diesel,"18,000 km",755000
657,SwiftVXi,January,First,Red,Hatchback,Manual,,Used,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maruti Suzuki,Swift,2018,Petrol,"15,990 km",595000
658,SwiftVXi,September,First,Blue,Hatchback,Manual,NoInsurance,Used,MH,Yes,,,Yes,Yes,AutomaticClimateControl,Front&rear,,Yes,,Power,Yes,,,Yes,Yes,,Yes,,,RemoteControlledCentral,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift,2013,Petrol,"38,200 km",359000
659,SwiftVXi,July,First,Blue,Hatchback,Manual,Comprehensive,Used,MH,Yes,,Yes,Yes,Yes,AutomaticClimateControl,Front&rear,,Yes,Yes,Power,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,RemoteControlledCentral,2airbags,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift,2012,Petrol,"18,000 km",370000
660,WagonR1.0VXi,June,First,Silver,Sedans,Manual,Comprehensive,New,MH,Yes,,,,,WithHeater,Front&rear,,Yes,,Power,,,,,,,,,Yes,Central,None,No,No,Yes,,,,Maruti Suzuki,Wagon R 1.0,2012,Petrol,"27,000 km",249000
661,WagonRLXI,August,First,White,Hatchback,Manual,Comprehensive,Used,MH,Yes,,Yes,Yes,Yes,AutomaticClimateControl,Front&rear,,Yes,Yes,Power,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,RemoteControlledCentral,2airbags,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Wagon R,2013,CNG & Hybrids,"48,000 km",285000
662,WagonRVXiBS-III,October,First,,,Manual,NoInsurance,,MH,Yes,,,Yes,,WithHeater,Front&rear,,,,,,,,,,,,,,RemoteControlledCentral,,,,Yes,Yes,Yes,Yes,Maruti Suzuki,Wagon R,2011.0,Petrol,"63,256 km",225000
663,SwiftVXi,September,First,White,Hatchback,Manual,,Used,ML,Yes,,,,,,Front&rear,,,,,,,,,,,,,,,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift,2015.0,Petrol,"52,123 km",450000
